frame_number,timestamp_seconds,x_meters,y_meters
51,2.5687518887881535,-390.663854305092,-292.9704922485075
52,2.619119572882039,-391.15962622329795,-292.95644326236965
53,2.6694872569759243,-391.6499981734466,-292.94239460517616
54,2.71985494106981,-392.140557764347,-292.9283469985365
55,2.770222625163695,-392.6379261560599,-292.9142973335237
56,2.8205903092575806,-393.1283019075101,-292.89413177570987
57,2.8709579933514657,-393.6186707298707,-292.87507638933533
58,2.9213256774453513,-394.11672334124603,-292.8610280008913
59,2.9716933615392365,-394.6138111820112,-292.84331495637184
60,3.022061045633122,-395.10842903629384,-292.8218053036687
61,3.072428729727007,-395.6017535261001,-292.7983128995164
62,3.122796413820893,-396.1000863348981,-292.78137463469136
63,3.173164097914778,-396.5995351093906,-292.7574105933572
64,3.2235317820086635,-397.0989985323203,-292.7363705901
65,3.2738994661025487,-397.5920407304065,-292.7083079661513
66,3.3242671501964343,-398.09172556077584,-292.6897231067175
67,3.3746348342903194,-398.5973267552331,-292.65218094049237
68,3.425002518384205,-399.09195612636023,-292.62411822131895
69,3.47537020247809,-399.58898875815777,-292.5960560032049
70,3.5257378865719757,-400.0956222271957,-292.57703499220963
71,3.576105570665861,-400.5982941437509,-292.5399287697694
72,3.6264732547597465,-401.10175155262857,-292.51186355825746
73,3.6768409388536316,-401.6011890601525,-292.47304842715835
74,3.727208622947517,-402.10225110705176,-292.4446143059064
75,3.7775763070414023,-402.6107968035065,-292.41114016041075
76,3.827943991135288,-403.11394452826147,-292.37736170982896
77,3.878311675229173,-403.6134121284679,-292.3381757803364
78,3.9286793593230587,-404.1219250170845,-292.3071581372272
79,3.979047043416944,-404.62667836591254,-292.2650793932092
80,4.029414727510829,-405.1261230919321,-292.23173746852393
81,4.0797824116047146,-405.6334039895247,-292.19205016475325
82,4.1301500956986,-406.14881230552345,-292.14997229907675
83,4.180517779792486,-406.65736726595014,-292.1078922040666
84,4.230885463886371,-407.1659006012374,-292.0566420076876
85,4.281253147980256,-407.6750153301643,-292.01261439021596
86,4.331620832074141,-408.19262344791537,-291.96670754360827
87,4.381988516168027,-408.70590644607734,-291.9173311407285
88,4.432356200261912,-409.2144417847997,-291.865643566639
89,4.4827238843557975,-409.73104547679367,-291.820677110717
90,4.533091568449683,-410.2486348462541,-291.7645866079043
91,4.583459252543569,-410.7615950509991,-291.7084956515528
92,4.633826936637454,-411.2766557949178,-291.65240102659413
93,4.684194620731339,-411.79541149096707,-291.60743449954634
94,4.734562304825224,-412.3190554055221,-291.5513411650035
95,4.784929988919109,-412.83175782276066,-291.4952472613928
96,4.835297673012995,-413.3539012151382,-291.4286681710339
97,4.88566535710688,-413.8748095137119,-291.3719373546296
98,4.936033041200766,-414.4005745896321,-291.31584572819395
99,4.986400725294651,-414.9194959681189,-291.259754043609
100,5.036768409388537,-415.439127562638,-291.2036589509043
101,5.087136093482422,-415.97111985244413,-291.1448841045699
102,5.137503777576307,-416.4887181724945,-291.08035328883136
103,5.187871461670192,-417.0118037323711,-291.02426046417264
104,5.238239145764078,-417.53144559707124,-290.9681658623264
105,5.288606829857963,-418.06515953232037,-290.91207489097724
106,5.3389745139518485,-418.58795112120055,-290.8559814401482
107,5.389342198045734,-419.105549866596,-290.7998890572524
108,5.43970988213962,-419.6375771127739,-290.7437936481056
109,5.490077566233505,-420.15514989247873,-290.68770397225404
110,5.54044525032739,-420.67692952704596,-290.6316103770301
